제목,장르,감독,배우,평점
Movie 58,스릴러,Director Q,Actor M,8.3
Movie 7229,애니메이션,Director T,"Actor K, Actor H, Actor I",8.0
Movie 6485,스릴러,Director E,"Actor J, Actor W, Actor Q, Actor Q, Actor S",4.3
Movie 5280,드라마,Director Q,"Actor M, Actor I, Actor Y, Actor B, Actor P",1.9
Movie 3025,액션,Director T,Actor F,3.0
Movie 2236,드라마,Director O,Actor R,2.5
Movie 5204,드라마,Director F,"Actor X, Actor D, Actor U, Actor W",6.4
Movie 7403,애니메이션,Director C,Actor U,4.9
Movie 5528,스릴러,Director V,"Actor Y, Actor U, Actor R",7.9
Movie 7138,애니메이션,Director A,Actor W,3.1
Movie 961,코미디,Director E,"Actor B, Actor J, Actor Z",0.2
Movie 9620,SF,Director P,"Actor G, Actor V",8.9
Movie 3172,액션,Director T,"Actor S, Actor F, Actor O, Actor Z, Actor P",3.8
Movie 1175,코미디,Director T,Actor A,0.5
Movie 7170,코미디,Director I,"Actor Q, Actor S, Actor T, Actor C, Actor V",2.0
Movie 933,로맨스,Director W,"Actor J, Actor K, Actor D, Actor R",8.5
Movie 20,로맨스,Director X,"Actor Z, Actor H, Actor D, Actor S",2.7
Movie 5429,액션,Director L,"Actor X, Actor E, Actor P, Actor S",4.4
Movie 8632,애니메이션,Director S,"Actor C, Actor H, Actor I",6.5
Movie 553,SF,Director T,"Actor D, Actor F, Actor K, Actor J",8.2
Movie 836,애니메이션,Director V,"Actor P, Actor P",9.7
Movie 1912,SF,Director N,"Actor P, Actor V, Actor B, Actor I",3.8
Movie 6243,애니메이션,Director I,"Actor J, Actor U, Actor P, Actor M",7.6
Movie 8295,드라마,Director J,"Actor K, Actor I",6.7
Movie 3572,액션,Director L,"Actor L, Actor L, Actor Q",0.7
Movie 6501,로맨스,Director V,"Actor H, Actor S, Actor Q",0.8
Movie 4005,스릴러,Director M,"Actor I, Actor V, Actor W, Actor X",3.7
Movie 7631,드라마,Director E,"Actor Y, Actor D, Actor M, Actor M, Actor K",3.6
Movie 7691,애니메이션,Director M,"Actor T, Actor I, Actor V, Actor L",6.4
Movie 2452,스릴러,Director Z,Actor Q,9.1
Movie 6377,스릴러,Director U,"Actor L, Actor Q, Actor W, Actor J, Actor K",8.8
Movie 1915,스릴러,Director J,"Actor G, Actor D, Actor L",0.3
Movie 4460,SF,Director S,"Actor R, Actor Q",7.8
Movie 4424,SF,Director B,"Actor Y, Actor L, Actor H, Actor I",9.2
Movie 1712,애니메이션,Director I,"Actor E, Actor I, Actor Z, Actor E",3.8
Movie 991,코미디,Director A,Actor D,3.5
Movie 7248,애니메이션,Director W,"Actor K, Actor Z",6.5
Movie 8007,스릴러,Director T,"Actor E, Actor B, Actor J",4.5
Movie 7072,애니메이션,Director J,"Actor D, Actor L, Actor V, Actor U, Actor J",4.5
Movie 7356,로맨스,Director K,"Actor Q, Actor B",7.6
Movie 9105,액션,Director C,"Actor P, Actor M, Actor G, Actor L, Actor C",2.5
Movie 5807,액션,Director U,"Actor Y, Actor I, Actor A",7.5
Movie 9162,애니메이션,Director X,"Actor Q, Actor S, Actor J, Actor I",9.1
Movie 3251,코미디,Director N,"Actor O, Actor T",0.4
Movie 5135,드라마,Director X,"Actor M, Actor R, Actor S, Actor R, Actor Q",3.6
Movie 3223,스릴러,Director M,"Actor C, Actor W, Actor C, Actor N",6.8
Movie 348,코미디,Director Z,"Actor D, Actor W, Actor H",7.3
Movie 35,애니메이션,Director R,"Actor O, Actor X",7.4
Movie 601,로맨스,Director M,Actor K,9.2
Movie 9996,애니메이션,Director V,"Actor Y, Actor B, Actor W",5.3
Movie 891,애니메이션,Director P,"Actor W, Actor I",6.4
Movie 4048,드라마,Director E,"Actor X, Actor G, Actor Z, Actor C, Actor H",9.4
Movie 5086,드라마,Director B,"Actor C, Actor N",1.1
Movie 339,스릴러,Director J,"Actor L, Actor M",1.5
Movie 2995,로맨스,Director J,"Actor L, Actor P, Actor G, Actor R, Actor V",6.6
Movie 1191,드라마,Director G,Actor Z,7.4
Movie 6459,애니메이션,Director K,Actor R,5.9
Movie 685,코미디,Director B,"Actor I, Actor W, Actor K",9.9
Movie 1192,드라마,Director C,"Actor B, Actor U, Actor H, Actor W, Actor M",3.0
Movie 9393,액션,Director T,"Actor S, Actor T, Actor J",0.0
Movie 7462,애니메이션,Director Q,"Actor N, Actor D, Actor Y, Actor C, Actor X",0.9
Movie 6855,애니메이션,Director O,"Actor U, Actor C",5.6
Movie 8330,SF,Director F,Actor Z,1.5
Movie 1840,액션,Director B,Actor E,0.3
Movie 7869,애니메이션,Director C,"Actor P, Actor C, Actor R",7.1
Movie 4804,코미디,Director Z,"Actor I, Actor H",6.6
Movie 6243,스릴러,Director Q,"Actor N, Actor G, Actor R, Actor T, Actor Z",4.3
Movie 7271,스릴러,Director A,Actor Y,6.8
Movie 215,스릴러,Director P,"Actor P, Actor N, Actor R",1.4
Movie 4718,코미디,Director Y,"Actor R, Actor N, Actor R, Actor O",4.4
Movie 6238,드라마,Director I,"Actor Q, Actor I",8.6
Movie 7546,로맨스,Director K,"Actor E, Actor Z, Actor K, Actor D",3.4
Movie 9663,SF,Director P,"Actor U, Actor U, Actor F, Actor V, Actor R",0.7
Movie 7925,SF,Director Q,Actor Y,0.9
Movie 5152,로맨스,Director S,Actor Z,7.9
Movie 5768,로맨스,Director L,"Actor C, Actor F, Actor C, Actor D, Actor B",3.1
Movie 2785,액션,Director X,"Actor W, Actor M",4.6
Movie 5496,액션,Director T,Actor Z,3.7
Movie 6006,로맨스,Director O,Actor Y,8.1
Movie 9805,로맨스,Director S,Actor Z,7.5
Movie 8247,스릴러,Director Z,"Actor K, Actor E, Actor L",4.3
Movie 4109,SF,Director F,"Actor V, Actor B, Actor X, Actor N",4.0
Movie 1519,애니메이션,Director I,"Actor D, Actor H",4.8
Movie 9466,스릴러,Director R,"Actor G, Actor T, Actor X, Actor P",2.4
Movie 2155,애니메이션,Director K,"Actor A, Actor L, Actor G, Actor W",7.2
Movie 1910,로맨스,Director N,"Actor J, Actor Y",7.3
Movie 5253,드라마,Director T,Actor H,0.2
Movie 5572,로맨스,Director A,"Actor U, Actor C, Actor L, Actor Q",5.3
Movie 2027,애니메이션,Director F,"Actor O, Actor N, Actor X",3.3
Movie 6924,로맨스,Director D,"Actor A, Actor J, Actor H, Actor M",5.9
Movie 6730,액션,Director O,Actor M,4.9
Movie 3095,코미디,Director R,"Actor I, Actor H, Actor I, Actor D",3.7
Movie 828,액션,Director B,Actor W,8.7
Movie 265,드라마,Director X,"Actor W, Actor G, Actor V, Actor C",5.4
Movie 7487,드라마,Director L,"Actor B, Actor F",0.2
Movie 4031,드라마,Director Z,Actor A,9.9
Movie 8897,드라마,Director Y,"Actor E, Actor G, Actor F, Actor F, Actor V",0.8
Movie 1620,로맨스,Director Y,"Actor R, Actor F, Actor D",7.7
Movie 7989,SF,Director M,Actor A,8.6
Movie 3436,드라마,Director Q,"Actor Y, Actor W, Actor V, Actor C, Actor L",3.4
Movie 8294,애니메이션,Director O,Actor T,3.9
Movie 8111,코미디,Director K,"Actor I, Actor O",7.6
Movie 6174,드라마,Director W,"Actor T, Actor L, Actor F, Actor N",8.6
Movie 2736,코미디,Director W,"Actor A, Actor S, Actor M, Actor Z, Actor R",3.4
Movie 3472,애니메이션,Director L,"Actor E, Actor H",7.4
Movie 9952,로맨스,Director K,"Actor C, Actor Z",5.5
Movie 7798,애니메이션,Director G,"Actor D, Actor V, Actor L, Actor H",6.3
Movie 7065,드라마,Director G,"Actor F, Actor E",5.6
Movie 7053,액션,Director J,"Actor Z, Actor H, Actor O",5.5
Movie 6282,애니메이션,Director U,"Actor A, Actor N",2.7
Movie 7351,드라마,Director F,"Actor W, Actor Y, Actor R, Actor W",2.1
Movie 4466,SF,Director E,"Actor D, Actor W, Actor Y, Actor L",9.8
Movie 5707,액션,Director T,"Actor G, Actor P",2.9
Movie 6800,애니메이션,Director P,"Actor L, Actor F",1.5
Movie 1586,애니메이션,Director A,"Actor Z, Actor G, Actor L, Actor G, Actor B",6.8
Movie 3408,SF,Director V,Actor R,3.3
Movie 3704,SF,Director Y,"Actor B, Actor R, Actor B",0.3
Movie 2251,드라마,Director A,"Actor J, Actor D, Actor V",7.1
Movie 4675,코미디,Director D,"Actor W, Actor T",8.8
Movie 5122,스릴러,Director S,"Actor X, Actor H, Actor E, Actor T, Actor A",5.6
Movie 3741,액션,Director S,Actor S,7.3
Movie 7493,드라마,Director J,Actor U,6.3
Movie 9423,SF,Director L,"Actor Q, Actor N, Actor I, Actor C, Actor T",7.1
Movie 6267,코미디,Director P,"Actor T, Actor Z, Actor V, Actor E",7.0
Movie 9072,코미디,Director J,"Actor A, Actor W, Actor C",3.1
Movie 6725,로맨스,Director V,"Actor D, Actor T, Actor N, Actor A, Actor N",5.4
Movie 6351,드라마,Director Q,Actor P,8.1
Movie 1919,액션,Director S,"Actor K, Actor J, Actor Q, Actor L, Actor X",8.1
Movie 6378,SF,Director Q,"Actor B, Actor V, Actor H",6.4
Movie 8034,스릴러,Director E,"Actor A, Actor W",8.0
Movie 4463,스릴러,Director K,"Actor P, Actor P, Actor P, Actor T, Actor Q",3.4
Movie 6778,코미디,Director X,"Actor A, Actor V, Actor S, Actor Y, Actor U",2.8
Movie 9702,드라마,Director K,"Actor A, Actor T, Actor Z",9.5
Movie 6656,SF,Director C,"Actor W, Actor B, Actor E, Actor J",5.9
Movie 6144,코미디,Director M,"Actor Q, Actor P, Actor D, Actor I",1.1
Movie 1919,액션,Director U,Actor T,9.3
Movie 9233,액션,Director Q,"Actor H, Actor Z",1.4
Movie 530,SF,Director F,"Actor L, Actor A, Actor G, Actor H, Actor U",2.0
Movie 3711,로맨스,Director Z,"Actor R, Actor X, Actor L, Actor S",5.6
Movie 71,스릴러,Director D,Actor G,7.3
Movie 5782,SF,Director J,"Actor N, Actor F, Actor U",7.1
Movie 8915,애니메이션,Director W,"Actor N, Actor E, Actor B, Actor C",3.1
Movie 742,로맨스,Director F,Actor V,0.6
Movie 349,코미디,Director I,"Actor I, Actor R",0.7
Movie 7260,애니메이션,Director D,"Actor F, Actor E",8.8
Movie 8292,드라마,Director X,"Actor A, Actor R, Actor B, Actor C",8.6
Movie 9622,코미디,Director Y,"Actor J, Actor R, Actor X, Actor R",7.9
Movie 3114,로맨스,Director S,"Actor G, Actor O, Actor E",4.4
Movie 6725,애니메이션,Director X,Actor L,5.2
Movie 1484,SF,Director N,Actor K,0.9
Movie 5348,스릴러,Director I,"Actor S, Actor U",0.2
Movie 2580,애니메이션,Director M,"Actor L, Actor T, Actor T",3.7
Movie 3612,스릴러,Director F,Actor R,9.9
Movie 7819,드라마,Director A,"Actor B, Actor K, Actor F",2.1
Movie 6771,스릴러,Director P,"Actor Z, Actor V, Actor S",6.4
Movie 1761,SF,Director R,"Actor V, Actor K, Actor G, Actor P",3.9
Movie 2659,드라마,Director S,"Actor V, Actor Y",1.6
Movie 982,애니메이션,Director Z,"Actor Z, Actor T, Actor I, Actor L, Actor R",9.2
Movie 6594,로맨스,Director W,Actor M,6.4
Movie 570,코미디,Director E,"Actor R, Actor Y, Actor M, Actor M, Actor C",2.5
Movie 8998,드라마,Director X,"Actor M, Actor F, Actor K, Actor T, Actor S",0.7
Movie 5932,스릴러,Director Q,Actor P,8.1
Movie 3044,코미디,Director Y,"Actor N, Actor Q",1.5
Movie 8044,스릴러,Director H,"Actor R, Actor T, Actor B, Actor H, Actor C",2.5
Movie 3021,애니메이션,Director K,Actor N,4.2
Movie 5669,코미디,Director S,Actor G,1.9
Movie 4085,드라마,Director O,"Actor V, Actor B",1.0
Movie 1148,로맨스,Director Q,"Actor N, Actor J, Actor V",9.3
Movie 4360,SF,Director H,"Actor A, Actor P, Actor E, Actor S",9.9
Movie 5447,스릴러,Director R,"Actor M, Actor M",0.6
Movie 9079,코미디,Director X,"Actor F, Actor F, Actor U",6.6
Movie 7020,SF,Director S,"Actor I, Actor X, Actor U, Actor O, Actor B",10.0
Movie 5643,드라마,Director O,"Actor Y, Actor M, Actor P",9.6
Movie 6698,SF,Director G,Actor X,9.9
Movie 8935,스릴러,Director B,Actor W,6.2
Movie 8081,로맨스,Director O,Actor M,4.5
Movie 6977,스릴러,Director B,"Actor T, Actor E, Actor V, Actor N",4.1
Movie 9529,로맨스,Director M,"Actor Y, Actor J, Actor J, Actor I",5.8
Movie 5690,코미디,Director F,"Actor E, Actor U, Actor E",5.9
Movie 6248,SF,Director T,"Actor V, Actor F, Actor G, Actor I, Actor V",7.1
Movie 9559,코미디,Director D,"Actor N, Actor Q",3.9
Movie 4727,코미디,Director Z,"Actor J, Actor L, Actor U, Actor D",3.8
Movie 1421,SF,Director L,"Actor W, Actor A, Actor L",6.4
Movie 6992,드라마,Director M,"Actor C, Actor S, Actor B, Actor N, Actor I",3.5
Movie 6138,SF,Director G,Actor R,8.6
Movie 1409,스릴러,Director K,"Actor P, Actor Q, Actor E",6.2
Movie 4821,스릴러,Director K,"Actor O, Actor M",7.1
Movie 8084,코미디,Director Y,"Actor C, Actor S, Actor C",1.1
Movie 9142,애니메이션,Director I,"Actor G, Actor I, Actor O, Actor I, Actor N",2.5
Movie 4023,로맨스,Director A,"Actor N, Actor O",0.8
Movie 6317,액션,Director H,"Actor W, Actor D, Actor S, Actor S",9.8
Movie 2298,드라마,Director L,Actor H,5.5
Movie 8804,드라마,Director K,"Actor O, Actor M, Actor B",0.8
Movie 2497,스릴러,Director V,"Actor T, Actor P, Actor Z",1.0
Movie 4958,코미디,Director T,"Actor D, Actor X, Actor J",7.7
Movie 9120,코미디,Director X,"Actor S, Actor M, Actor G, Actor V, Actor J",9.6
Movie 9709,로맨스,Director Y,Actor B,0.4
Movie 8393,스릴러,Director T,"Actor L, Actor P, Actor F",8.7
Movie 19,로맨스,Director O,"Actor A, Actor X",8.4
Movie 8920,액션,Director T,"Actor M, Actor J, Actor T, Actor B",7.6
Movie 3096,액션,Director V,Actor Y,9.7
Movie 7414,로맨스,Director M,"Actor Q, Actor F",3.5
Movie 4803,스릴러,Director V,"Actor D, Actor W, Actor I, Actor M",1.7
Movie 905,로맨스,Director L,Actor E,3.6
Movie 5,액션,Director P,"Actor U, Actor C, Actor H",1.8
Movie 8281,애니메이션,Director Z,Actor R,9.1
Movie 1450,SF,Director H,"Actor X, Actor O, Actor K, Actor I, Actor A",7.2
Movie 9474,액션,Director U,"Actor G, Actor G, Actor L, Actor P, Actor G",6.3
Movie 8084,코미디,Director C,"Actor F, Actor L, Actor W",7.1
Movie 9325,액션,Director I,Actor O,8.9
Movie 4915,액션,Director D,"Actor L, Actor K",0.1
Movie 3107,코미디,Director I,"Actor E, Actor H, Actor O, Actor K, Actor R",7.9
Movie 9833,로맨스,Director G,Actor I,9.6
Movie 9055,스릴러,Director H,"Actor X, Actor S, Actor I, Actor C, Actor A",6.9
Movie 4312,로맨스,Director Z,"Actor U, Actor L, Actor O, Actor L, Actor W",3.0
Movie 5083,코미디,Director A,"Actor R, Actor L, Actor Z",5.8
Movie 209,코미디,Director Q,"Actor P, Actor T",7.6
Movie 3855,스릴러,Director Z,"Actor H, Actor D, Actor B, Actor T, Actor N",2.6
Movie 6656,애니메이션,Director N,"Actor V, Actor C",6.9
Movie 3210,코미디,Director H,"Actor L, Actor S",8.2
Movie 6600,액션,Director I,"Actor Y, Actor H, Actor Z, Actor Z",3.9
Movie 2389,스릴러,Director R,"Actor P, Actor V, Actor Z, Actor I",7.5
Movie 7836,SF,Director P,Actor S,2.4
Movie 7472,드라마,Director F,Actor P,5.3
Movie 5636,SF,Director R,"Actor E, Actor W, Actor Q, Actor H, Actor O",4.0
Movie 6420,액션,Director E,Actor V,5.4
Movie 7427,액션,Director R,Actor F,9.2
Movie 6359,애니메이션,Director X,Actor W,5.4
Movie 4050,애니메이션,Director F,"Actor Y, Actor O, Actor U, Actor C",2.8
Movie 8642,드라마,Director A,"Actor N, Actor E, Actor N, Actor Z, Actor Y",4.9
Movie 9782,스릴러,Director H,"Actor J, Actor X",5.3
Movie 5367,액션,Director G,"Actor O, Actor X",3.2
Movie 8116,SF,Director D,"Actor Y, Actor W, Actor G, Actor H, Actor Y",4.1
Movie 8882,애니메이션,Director I,"Actor L, Actor O",3.7
Movie 7677,SF,Director H,"Actor Z, Actor C, Actor F, Actor K",0.8
Movie 202,드라마,Director E,"Actor D, Actor A",2.3
Movie 4885,로맨스,Director Y,"Actor F, Actor X, Actor Q, Actor D, Actor Q",3.5
Movie 5528,애니메이션,Director Z,"Actor H, Actor V, Actor W, Actor O",3.5
Movie 5797,드라마,Director C,"Actor K, Actor V, Actor E, Actor O",1.0
Movie 5922,드라마,Director V,"Actor U, Actor E, Actor G, Actor W, Actor H",8.5
Movie 1146,SF,Director J,"Actor A, Actor O",2.8
Movie 815,드라마,Director K,Actor C,0.9
Movie 9461,SF,Director G,"Actor M, Actor K, Actor A",3.5
Movie 1396,애니메이션,Director W,"Actor P, Actor R, Actor H, Actor W",0.7
Movie 6307,SF,Director A,"Actor B, Actor C, Actor O, Actor U",9.9
Movie 3010,애니메이션,Director O,Actor V,1.4
Movie 5511,드라마,Director D,"Actor X, Actor W, Actor N",0.8
Movie 8947,로맨스,Director H,Actor U,2.2
Movie 8693,SF,Director I,Actor I,5.6
Movie 2240,액션,Director R,Actor O,1.1
Movie 8017,스릴러,Director I,"Actor Z, Actor J, Actor Q",5.5
Movie 4306,로맨스,Director C,"Actor J, Actor D, Actor K, Actor O",7.3
Movie 5821,SF,Director V,"Actor E, Actor V, Actor G, Actor N",6.5
Movie 2385,드라마,Director U,"Actor B, Actor G, Actor O, Actor Y",3.5
Movie 269,드라마,Director X,"Actor I, Actor U, Actor A",9.7
Movie 560,SF,Director X,"Actor G, Actor L, Actor I, Actor J",0.4
Movie 6034,액션,Director E,Actor V,2.5
Movie 8569,코미디,Director N,"Actor V, Actor Y, Actor V, Actor T, Actor M",8.3
Movie 7244,액션,Director O,"Actor V, Actor L, Actor D",6.8
Movie 4518,스릴러,Director C,"Actor G, Actor A",7.1
Movie 7918,드라마,Director G,"Actor Z, Actor J, Actor U, Actor Z, Actor M",2.4
Movie 4092,코미디,Director S,"Actor H, Actor I, Actor W, Actor J",7.5
Movie 7259,SF,Director J,"Actor Z, Actor E, Actor Z, Actor D",5.4
Movie 976,스릴러,Director A,"Actor P, Actor B, Actor J, Actor P, Actor X",8.8
Movie 7236,스릴러,Director P,"Actor U, Actor B, Actor M, Actor B, Actor W",0.8
Movie 5980,스릴러,Director E,"Actor K, Actor K",6.1
Movie 39,로맨스,Director Q,Actor Y,4.2
Movie 2582,액션,Director L,"Actor N, Actor P, Actor U, Actor S",0.3
Movie 832,드라마,Director Z,Actor K,4.7
Movie 3520,애니메이션,Director L,Actor R,1.6
Movie 7832,애니메이션,Director C,"Actor Z, Actor M, Actor U",5.2
Movie 187,액션,Director V,"Actor K, Actor W, Actor B, Actor Q",8.4
Movie 3801,로맨스,Director S,Actor S,8.1
Movie 4440,액션,Director E,"Actor H, Actor C",3.4
Movie 9490,드라마,Director G,"Actor H, Actor H, Actor G",0.1
Movie 292,SF,Director G,"Actor T, Actor O",0.7
Movie 1013,액션,Director Q,"Actor I, Actor K",1.9
Movie 5622,액션,Director O,"Actor Y, Actor E",5.2
Movie 2868,로맨스,Director D,"Actor Z, Actor Q, Actor X",7.2
Movie 67,액션,Director L,"Actor C, Actor K, Actor U, Actor F",8.2
Movie 693,코미디,Director E,"Actor H, Actor J",2.6
Movie 7540,코미디,Director Q,"Actor S, Actor Z, Actor H, Actor F, Actor O",1.5
Movie 9645,드라마,Director T,Actor L,8.6
Movie 2839,SF,Director D,"Actor F, Actor C, Actor K, Actor S, Actor E",3.4
Movie 8338,애니메이션,Director M,"Actor U, Actor V",5.7
Movie 5637,코미디,Director P,Actor Z,3.8
Movie 8591,애니메이션,Director N,"Actor D, Actor Y, Actor P, Actor S, Actor Q",4.7
Movie 6289,SF,Director V,Actor F,5.8
Movie 7649,스릴러,Director G,Actor F,4.5
Movie 1477,애니메이션,Director F,"Actor A, Actor U, Actor M",9.8
Movie 4739,스릴러,Director Y,"Actor J, Actor T, Actor L, Actor V, Actor D",5.6
Movie 72,로맨스,Director A,"Actor R, Actor D",6.1
Movie 5978,드라마,Director G,Actor R,9.1
Movie 8905,로맨스,Director Z,"Actor Z, Actor I",1.7
Movie 8674,로맨스,Director O,"Actor B, Actor W, Actor M, Actor O, Actor V",0.1
Movie 2498,애니메이션,Director Y,Actor I,3.1
Movie 8926,코미디,Director I,"Actor U, Actor N, Actor T",7.6
Movie 1873,SF,Director L,"Actor I, Actor T, Actor V, Actor D, Actor C",9.2
Movie 3040,코미디,Director L,"Actor M, Actor M, Actor W, Actor U",9.4
Movie 4100,로맨스,Director C,"Actor W, Actor Q, Actor Q, Actor F",1.5
Movie 7408,코미디,Director M,Actor Q,2.9
Movie 1646,드라마,Director D,Actor M,2.7
Movie 6036,로맨스,Director X,"Actor K, Actor U, Actor L, Actor I",2.5
Movie 29,로맨스,Director Y,"Actor F, Actor P",9.4
Movie 2865,코미디,Director L,"Actor L, Actor I, Actor F, Actor Q, Actor N",3.3
Movie 3803,액션,Director Y,"Actor Z, Actor V",7.4
Movie 2631,로맨스,Director O,"Actor M, Actor Y, Actor W",3.5
Movie 7361,로맨스,Director U,"Actor F, Actor N, Actor T, Actor V, Actor B",3.6
Movie 2706,SF,Director J,Actor J,6.8
Movie 9035,스릴러,Director A,Actor B,6.1
Movie 9327,액션,Director C,"Actor B, Actor G, Actor X, Actor M, Actor Y",2.0
Movie 4241,코미디,Director F,"Actor M, Actor F, Actor R, Actor B",5.8
Movie 232,스릴러,Director O,"Actor T, Actor K, Actor X, Actor E",5.4
Movie 7976,액션,Director C,"Actor F, Actor W",4.3
